,ID,World,Date,Important Trigger,Death,Description,Characters
,1,Origin,08-11-1971,FALSE,FALSE,Marek argue with his father H.G. Tannhaus because he doesn't pay him enough attention.,"Marek Tannhaus, H.G. Tannhaus"
,2,Origin,08-11-1971,FALSE,FALSE,"Marek, Sonja and their daugther Charlotte leave tannhaus shop and take the car although it's raining.","Marek Tannhaus, Sonja Tannhaus, Charlotte Tannhaus"
,3,Origin,08-11-1971,FALSE,TRUE,"Marek, Sonja and little charlotte die in a car accident.","Marek Tannhaus, Sonja Tannhaus, Charlotte Tannhaus"
,4,Origin,21-06-1976,FALSE,FALSE,Adult H.G. Tannhaus remembers his family.,H.G. Tannhaus
,5,Origin,21-06-1976,TRUE,FALSE,He wants to create a time machine to undo it all.,H.G. Tannhaus
,6,Origin,21-06-1976,FALSE,FALSE,He spends the next years building a time machine in the bunker.,H.G. Tannhaus
,7,Origin,21-06-1986,FALSE,FALSE,Old H.G. Tannhaus finishes his machine...,H.G. Tannhaus
,8,Origin,21-06-1986,TRUE,FALSE,... and activates it.,H.G. Tannhaus
,9,Origin,22-06-1986,FALSE,FALSE,"Instead of saving his family, he splits and destroys his world, thus creating both Adam and Eve worlds.",H.G. Tannhaus
,10,Origin (End),08-11-1971,FALSE,FALSE,Jonas and Martha arrive in the origin world.,"H.G. Tannhaus, Marek Tannhaus, Sonja Tannhaus, Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M), Charlotte Tannhaus"
,11,Origin (End),08-11-1971,TRUE,FALSE,Jonas and Martha persuade Marek not to drive over the bridge where the fatal accident would have occurred.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M), Marek Tannhaus, Sonja Tannhaus, Charlotte Tannhaus"
,12,Origin (End),08-11-1971,FALSE,FALSE,Marek and his family return to Tannhaus' house. They live so H.G. Tannhaus never builds the time machine.,"H.G. Tannhaus, Marek Tannhaus, Sonja Tannhaus, Charlotte Tannhaus"
,13,Origin (End),08-11-1971,FALSE,FALSE,"H.G. Tannhaus world remains, but Adam and Eve's worlds  - and all of their inhabitants - cease to exist.",
,14,Origin (End),08-11-1971,TRUE,FALSE,Jonas and Martha hold hands as they watch each other disappear.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,15,Martha,21-06-1986,FALSE,FALSE,Martha and Jonas enter the bridge.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,16,Martha,21-06-1986,FALSE,FALSE,Teen Jonas and Martha arrive to 1986.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,17,Martha,21-06-1986,FALSE,FALSE,Teen Jonas explains Martha that they are the glitch in the matrix.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,18,Martha,21-06-1986,FALSE,FALSE,Teen Jonas and Martha enter the caves and wait for the bridge that will lead them to the origin world.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,19,Martha,21-06-1986,FALSE,FALSE,The bridge opens.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,20,Martha,08-11-2019,FALSE,FALSE,Teen Jonas and Martha travel to 1986.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,21,Martha,08-11-2019,FALSE,FALSE,Teen Jonas finds Martha.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,22,Martha,08-11-2019,FALSE,FALSE,Adam and teen Jonas arrives to martha's world. Adam gives Jonas the time machine and explains his next step.,Jonas Kahnwald / Adam (J)
,23,Martha,07-11-1920,FALSE,FALSE,Adam burns eve base ...,Jonas Kahnwald / Adam (J)
,24,Martha,07-11-1920,FALSE,FALSE,... and travels to the future.,Jonas Kahnwald / Adam (J)
,25,Martha,08-11-2052,FALSE,FALSE,Adam visits Eve headquarters.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,26,Martha,08-11-2052,FALSE,FALSE,Eve expects Adam to kill her but Adam has removed the cartidges from his gun.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,27,Martha,08-11-2052,FALSE,FALSE,"Instead of killing her, Adam takes Eve's hand. they hope that Jonas and Martha fulfill their mission.","Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,28,Jonas,27-06-2020,TRUE,FALSE,Adam saves Jonas from the apocalypse.,Jonas Kahnwald / Adam (J)
,29,Jonas,26-09-2053,FALSE,FALSE,They must use it to break the cycle. Martha and Jonas  must travel to the origin world.,"Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,30,Jonas,26-09-2053,FALSE,FALSE,"During the Apocalypse, time stands still for a fraction of a second, breaking the chain of cause and effect. For a moment, there is a gap through which reality can proceed in two different directions: a switch at the knot of the time loop.","Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,31,Jonas,26-09-2053,FALSE,FALSE,Old Claudia realized that they're not all part of the knot. They must remove the knot to destroy all that was born on it and keeping everything alive that already existed in the origin world.,"Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,32,Jonas,26-09-2053,FALSE,FALSE,Adam and old Claudia arrive to sic mundus' headquarters.,"Jonas Kahnwald / Adam (J), Claudia Tiedemann (J)"
,33,Martha,21-06-1985,FALSE,FALSE,The unknown trio break into the power plant.,Unknown
,34,Martha,22-06-1985,FALSE,FALSE,"They enter the volume control room in both worlds and simultaneously open a valve, triggering an accident.",Unknown
,35,Martha,23-06-1985,TRUE,FALSE,An explosion at the power plant causes the leak of radioactive material.,Unknown
